,nearest_heath
568,3134.5751953205627
569,1208.8347628573322
570,911.9713242050749
571,656.4890944473466
572,467.9056215917437
573,2273.163065199976
574,5931.094524374424
575,1854.5505506842621
576,7746.71334834955
577,5349.787861495463
578,3172.280263199817
579,1949.4343953680495
580,4988.240075730766
581,1480.25592803605
582,7440.439156349967
583,2707.4895304256906
584,2744.91434230663
585,317.38297831122634
586,3711.7911292100684
587,7441.899681057645
588,4859.0022621722965
589,5931.094524374424
590,3615.0437223312974
591,2404.4569285111543
592,3095.132778602266
593,9892.630799458622
594,9605.393467215983
595,2584.8357162465277
596,3291.052319269214
597,3310.0595981335673
598,2276.2840029062045
599,2451.8132316885158
600,1404.2726035002904
601,7607.836681583527
602,2759.298431465914
603,1559.5658247047863
604,1682.2592185760293
605,4801.3068787765305
606,4977.198073481463
607,4778.790326354688
608,2855.5282910712385
609,4848.84656487143
610,5238.61266409623
611,3526.5500446284777
612,1892.33907571777
613,4619.089042382085
614,2992.1320528546808
615,2882.274446493829
616,3756.6546936163195
617,2197.8885471761855
618,7124.161490794984
619,2258.227468946849
620,5932.641975414197
621,4331.897021526575
622,6467.378403422051
623,2242.6994189324796
624,7348.39650689208
625,3368.17075670265
626,119.52528962860823
627,4859.0022621722965
628,5767.078890476914
629,232.8493701469417
630,5884.916733381362
631,232.8493701469417
632,911.409885559298
633,1016.3372398703381
634,6948.4885905287265
635,4264.503848456891
636,3109.7618963559185
637,1868.13050049519
638,9322.511932509722
639,2283.7706117238745
640,5252.854321326348
641,7066.9539009931395
642,1072.6566332342472
643,7552.392674201949
644,1756.1975513206835
645,6644.583837234829
646,4390.169575107869
647,5602.164135911762
648,3116.3311354568405
649,8103.434580163614
650,4154.18275890018
651,5421.758524026221
652,5519.921306104616
653,1945.6942671003837
654,1270.8728248300547
655,4867.295641653441
656,7706.5857992588135
657,1628.0445273053579
658,6633.101601547857
659,2142.4669478132
660,5157.378196641191
661,2029.725310319418
662,4593.9661614224115
663,4323.834192212457
664,6763.540042417434
665,5374.413685132202
666,7661.300396731644
667,2367.136088722172
668,1775.1062716396475
669,1773.2873133539065
670,6362.3629396075185
671,1749.778311895866
672,4858.300028694659
673,3767.46460105932
674,3301.2215857340198
675,5754.875958904784
676,2264.8595048080874
677,2684.0499801387364
678,5027.393192691968
679,5768.69693512082
680,239.8232186805255
681,1221.3082110199769
682,7215.280297860846
683,1730.7337244204562
684,2719.011391405592
685,5801.266952297154
686,6724.421686331471
687,5168.6533649748035
688,815.217868077981
689,4529.567644097675
690,3959.157127012113
691,1148.3296159217127
692,2843.472941098252
693,5277.484394136793
694,4101.043971900438
695,6321.668396660728
696,7185.052347418212
697,2120.490583838016
698,1967.913889778
699,4122.423341462462
700,2998.706297616097
701,4707.588235434276
702,4168.475394069886
703,4697.044289005271
704,2486.4182365814586
705,569.2672708779492
706,5038.560708072384
707,5586.5167056659275
708,6315.387684169849
709,3893.2698170811514
710,3878.143794199052
711,10675.391522136746
712,3469.5154904416568
713,8832.104921679236
714,5894.025127491571
715,5051.201552344042
716,4157.539663082183
717,7868.764869962551
718,8140.88868869819
719,2417.211665257485
720,7802.645076598172
721,4884.146442664391
722,650.255348623651
723,4908.57937840034
724,3236.666708251727
725,2678.132522152196
726,3945.640462208621
727,1459.5449048962587
